foodweb-baywet_x,foodweb-baywet_mix,foodweb-baywet_ba,foodweb-baywet_finder,foodweb-baywet_ci,foodweb-baywet_gdm,foodweb-baywet_corehd,faa_x,faa_mix,faa_ba,faa_finder,faa_ci,faa_gdm,faa_corehd,moreno_crime_projected_x,moreno_crime_projected_mix,moreno_crime_projected_ba,moreno_crime_projected_finder,moreno_crime_projected_ci,moreno_crime_projected_gdm,moreno_crime_projected_corehd
0.078125,0.921875,0.921875,0.921875,0.921875,0.921875,0.921875,0.008156606851549755,0.9910277324632952,0.9877650897226754,0.967373572593801,0.9877650897226754,0.9902120717781403,0.9861337683523654,0.013262599469496022,0.9270557029177718,0.9496021220159151,0.9137931034482759,0.9270557029177718,0.9403183023872679,0.9244031830238727
0.0859375,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625,0.9140625,0.00897226753670473,0.9902120717781403,0.9869494290375204,0.966557911908646,0.9861337683523654,0.9861337683523654,0.9853181076672104,0.014588859416445624,0.9257294429708223,0.9482758620689655,0.903183023872679,0.9204244031830239,0.9376657824933687,0.9177718832891246
0.09375,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.009787928221859706,0.9893964110929854,0.9853181076672104,0.964110929853181,0.9845024469820555,0.9845024469820555,0.9836867862969005,0.015915119363395226,0.9244031830238727,0.9416445623342176,0.8978779840848806,0.9137931034482759,0.9323607427055703,0.9137931034482759
0.1015625,0.8984375,0.8984375,0.8984375,0.8984375,0.8984375,0.8984375,0.010603588907014683,0.9885807504078303,0.9836867862969005,0.9616639477977161,0.9820554649265906,0.9836867862969005,0.9828711256117455,0.017241379310344827,0.9230769230769231,0.9403183023872679,0.8912466843501327,0.9124668435013262,0.9297082228116711,0.9098143236074271
0.109375,0.890625,0.890625,0.890625,0.890625,0.890625,0.890625,0.011419249592169658,0.9877650897226754,0.9828711256117455,0.9584013050570962,0.9804241435562806,0.9828711256117455,0.9820554649265906,0.01856763925729443,0.916445623342175,0.9389920424403183,0.8846153846153846,0.9045092838196287,0.9270557029177718,0.9045092838196287
0.1171875,0.8828125,0.8828125,0.8828125,0.8828125,0.8828125,0.8828125,0.012234910277324634,0.9869494290375204,0.9812398042414355,0.9567699836867863,0.9787928221859706,0.9820554649265906,0.9812398042414355,0.01989389920424403,0.9151193633952255,0.9376657824933687,0.8793103448275862,0.9018567639257294,0.9204244031830239,0.8978779840848806
0.125,0.875,0.875,0.875,0.875,0.875,0.875,0.013050570962479609,0.9861337683523654,0.9787928221859706,0.9543230016313213,0.9779771615008157,0.9812398042414355,0.9796084828711256,0.021220159151193633,0.9137931034482759,0.9363395225464191,0.8740053050397878,0.8978779840848806,0.916445623342175,0.8938992042440318
0.1328125,0.8671875,0.8671875,0.8671875,0.8671875,0.8671875,0.8671875,0.013866231647634585,0.9828711256117455,0.9771615008156607,0.9526916802610114,0.9771615008156607,0.9804241435562806,0.9779771615008157,0.022546419098143235,0.9124668435013262,0.9204244031830239,0.8687002652519894,0.8938992042440318,0.9137931034482759,0.8912466843501327
0.140625,0.859375,0.859375,0.859375,0.859375,0.859375,0.859375,0.01468189233278956,0.9820554649265906,0.9763458401305057,0.9486133768352365,0.9763458401305057,0.9787928221859706,0.9763458401305057,0.023872679045092837,0.9045092838196287,0.9190981432360743,0.8620689655172413,0.8859416445623343,0.9071618037135278,0.889920424403183
0.1484375,0.8515625,0.8515625,0.8515625,0.8515625,0.8515625,0.8515625,0.015497553017944535,0.9812398042414355,0.9747145187601958,0.9453507340946167,0.9755301794453507,0.9779771615008157,0.9755301794453507,0.025198938992042442,0.9005305039787799,0.9124668435013262,0.8554376657824934,0.8846153846153846,0.9018567639257294,0.8885941644562334
