Obj,ba_ba,ba_er,ba_sw,ba_regular,ba_sbm,mix_ba,mix_er,mix_sw,mix_regular,mix_sbm,finder_ba,finder_er,finder_sw,finder_regular,finder_sbm,gdm_ba,gdm_er,gdm_sw,gdm_regular,gdm_sbm,ci_ba,ci_er,ci_sw,ci_regular,ci_sbm,corehd_ba,corehd_er,corehd_sw,corehd_regular,corehd_sbm
MinMax,0.463456,0.449368,0.450624,0.44046399999999997,0.0801910613584715,0.47017600000000004,0.448768,0.454592,0.43700800000000006,0.08503072131975423,0.475,0.476152,0.47468,0.47901599999999994,0.07816050837471593,0.480184,0.47444000000000003,0.47463200000000005,0.46404,0.22088839323289286,0.461256,0.45036000000000004,0.446184,0.433016,0.08992298628061611,0.461272,0.453448,0.454952,0.43976800000000005,0.08758732429930141
MinMax,0.398024,0.43113599999999996,0.32123199999999996,0.45161599999999996,0.1237762548949804,0.3996,0.42299200000000003,0.311008,0.48019200000000006,0.12849323602705587,0.418424,0.45211999999999997,0.31586400000000003,0.491016,0.11900364898540403,0.433016,0.454696,0.311464,0.494232,0.15277901388394444,0.3998,0.422376,0.286488,0.445576,0.1298171057315771,0.400024,0.42776800000000004,0.3229040000000001,0.470312,0.13838332146671412
MinMax,0.370128,0.49710399999999993,0.419584,0.28849600000000003,0.11157382368848026,0.368704,0.49670400000000003,0.425296,0.30247999999999997,0.11133585722011899,0.371032,0.49658399999999997,0.463048,0.257768,0.103277447268794,0.396728,0.49924,0.41549600000000003,0.17559199999999997,0.18851270957274208,0.36948,0.495576,0.412088,0.30124,0.11296917252568958,0.37731999999999993,0.495864,0.4298,0.28301600000000005,0.11625743645213628
MinMax,0.11044800000000002,0.491264,0.404608,0.45161599999999996,0.10328833584151301,0.11358400000000003,0.49169599999999997,0.40332799999999996,0.48019200000000006,0.10831966936951101,0.10653600000000005,0.492776,0.44196,0.491016,0.09961591159228231,0.21467999999999998,0.49839200000000006,0.42248800000000003,0.48373600000000005,0.2134273713528447,0.117144,0.49154400000000004,0.390488,0.445576,0.10992565306259966,0.11653600000000001,0.49156,0.416456,0.45418400000000003,0.12001078142898855
MinMax,0.403552,0.26837470363381233,0.4619359999999999,0.440704,0.1162934345589722,0.405312,0.2712940113869131,0.465136,0.43705600000000006,0.12094292581029176,0.4177040000000001,0.25083466395703297,0.48181599999999997,0.47901599999999994,0.10603984636463692,0.434936,0.30268866631183367,0.48743200000000003,0.46696800000000005,0.2220300532333056,0.40263200000000005,0.26326994725891517,0.4598,0.433016,0.12122369219020236,0.408872,0.269173077853583,0.470104,0.44980000000000003,0.12293075178005884
MinMax,0.425152,0.469728,0.24769600000000003,0.452544,0.11710470751472982,0.430048,0.467248,0.236288,0.47721600000000003,0.11901506163405658,0.44892,0.48412,0.23304800000000003,0.48693600000000004,0.11502342697420014,0.45122399999999996,0.486088,0.225784,0.49426400000000004,0.2144221681513805,0.42796,0.467992,0.216664,0.43104800000000004,0.11872348126847515,0.430504,0.46989600000000004,0.257464,0.461272,0.12590239095899777
MinMax,0.39955199999999996,0.448848,0.46912,0.43055199999999993,0.10956611570247933,0.39824000000000004,0.45011200000000007,0.458,0.46356800000000004,0.10855371900826444,0.41325600000000007,0.4742,0.47591199999999995,0.48539999999999994,0.10503099173553719,0.41908,0.48084000000000005,0.47728800000000005,0.477112,0.18455578512396692,0.3985040000000001,0.45279200000000003,0.44703200000000004,0.43684,0.11015495867768595,0.395656,0.45141600000000004,0.46762400000000004,0.454488,0.11529958677685949
MinMax,0.23128,0.25,0.029632000000000002,0.440704,0.10438100137174212,0.23287999999999998,0.2470896201873049,0.032336,0.44969600000000004,0.10871056241426613,0.21939999999999998,0.23425305671175856,0.030968000000000002,0.47901599999999994,0.1031914437585734,0.28167200000000003,0.27304728147762747,0.06389600000000001,0.469128,0.1413215877914952,0.23314400000000002,0.24766681841831428,0.03743200000000001,0.433016,0.11862354252400545,0.237912,0.25127633975026015,0.042503999999999986,0.44956,0.1122792352537723
MinMax,0.39768,0.34128,0.424688,0.389624,0.0925655976676385,0.401664,0.33926400000000007,0.43675200000000003,0.426896,0.09795397750937108,0.39834400000000003,0.34903200000000006,0.461032,0.43539999999999995,0.08794512703040401,0.429144,0.373704,0.430344,0.433176,0.1561719075385256,0.396664,0.339352,0.40330400000000005,0.411752,0.10140306122448982,0.402648,0.35095200000000004,0.42338400000000004,0.41764,0.09617086630570597
MinMax,0.45052800000000004,0.351584,0.37411200000000006,0.470576,0.11296916062083065,0.459792,0.336768,0.36695999999999995,0.48628800000000005,0.12130230677657736,0.469768,0.346712,0.39743200000000006,0.49084000000000005,0.117876956941668,0.473256,0.366632,0.38776799999999995,0.49703200000000003,0.21863839536398552,0.45157600000000003,0.33997600000000006,0.35981599999999997,0.45042400000000005,0.1225489095033804,0.453928,0.35106400000000004,0.37827999999999995,0.460936,0.1223467577098448
