140 309.0 96.0 309.0 309.0 35.0 309.0
148 121.0 152.0 69.0 78.0 57.0 309.0
149 67.0 276.0 148.0 41.0 15.0 128.0
157 123.0 153.0 65.0 84.0 200.0 132.0
162 31.0 248.0 46.0 309.0 33.0 309.0
167 309.0 97.0 101.0 309.0 51.0 309.0
171 74.0 193.0 180.0 42.0 127.0 62.0
173 309.0 33.0 309.0 309.0 50.0 309.0
180 309.0 200.0 93.0 309.0 89.0 309.0
195 309.0 203.0 94.0 309.0 69.0 134.0
219 76.0 194.0 176.0 46.0 105.0 32.0
230 71.0 277.0 120.0 45.0 40.0 309.0
240 4.0 175.0 117.0 4.0 99.0 4.0
243 79.0 195.0 309.0 49.0 12.0 309.0
249 309.0 98.0 309.0 309.0 112.0 309.0
262 309.0 7.0 85.0 123.0 43.0 309.0
268 130.0 154.0 68.0 92.0 80.0 75.0
270 309.0 56.0 54.0 309.0 73.0 309.0
272 309.0 99.0 102.0 309.0 156.0 309.0
283 309.0 74.0 309.0 309.0 224.0 309.0
284 309.0 75.0 309.0 309.0 86.0 309.0
285 13.0 23.0 309.0 309.0 42.0 309.0
6 157.0 201.0 2.0 125.0 180.0 309.0
7 117.0 8.0 19.0 34.0 166.0 33.0
11 309.0 89.0 309.0 309.0 158.0 309.0
16 309.0 67.0 309.0 309.0 208.0 309.0
19 309.0 68.0 309.0 309.0 178.0 309.0
21 148.0 131.0 309.0 99.0 18.0 309.0
27 309.0 80.0 185.0 309.0 188.0 309.0
38 309.0 81.0 186.0 309.0 179.0 309.0
41 151.0 20.0 58.0 111.0 21.0 114.0
57 153.0 132.0 309.0 106.0 27.0 309.0
60 309.0 57.0 42.0 309.0 23.0 309.0
64 72.0 309.0 119.0 48.0 174.0 50.0
71 309.0 206.0 92.0 309.0 170.0 309.0
80 11.0 232.0 76.0 309.0 181.0 309.0
102 162.0 118.0 62.0 113.0 146.0 309.0
113 309.0 58.0 41.0 309.0 157.0 309.0
123 309.0 83.0 309.0 309.0 177.0 309.0
128 81.0 114.0 188.0 309.0 199.0 309.0
132 88.0 197.0 133.0 52.0 159.0 48.0
134 35.0 245.0 5.0 309.0 217.0 116.0
147 309.0 34.0 309.0 309.0 163.0 135.0
155 309.0 119.0 18.0 122.0 31.0 309.0
159 75.0 309.0 149.0 51.0 173.0 56.0
160 309.0 90.0 309.0 309.0 135.0 309.0
163 16.0 24.0 43.0 309.0 161.0 309.0
169 27.0 25.0 189.0 309.0 209.0 309.0
177 90.0 199.0 128.0 55.0 29.0 309.0
186 161.0 205.0 31.0 309.0 145.0 309.0
187 309.0 61.0 309.0 121.0 16.0 133.0
197 309.0 65.0 159.0 309.0 24.0 309.0
216 309.0 210.0 193.0 309.0 193.0 309.0
234 82.0 127.0 309.0 309.0 162.0 309.0
239 77.0 309.0 309.0 54.0 167.0 47.0
241 141.0 155.0 67.0 101.0 22.0 105.0
242 93.0 202.0 168.0 59.0 169.0 93.0
246 134.0 16.0 170.0 75.0 28.0 70.0
256 309.0 94.0 309.0 309.0 17.0 309.0
260 80.0 309.0 309.0 58.0 168.0 309.0
261 309.0 63.0 309.0 309.0 30.0 19.0
263 309.0 120.0 17.0 309.0 184.0 104.0
275 99.0 204.0 178.0 62.0 130.0 126.0
276 87.0 309.0 309.0 61.0 165.0 309.0
277 50.0 45.0 309.0 309.0 19.0 309.0
278 92.0 309.0 121.0 65.0 160.0 84.0
286 23.0 167.0 7.0 309.0 182.0 309.0
12 32.0 172.0 8.0 309.0 113.0 309.0
13 309.0 37.0 309.0 309.0 153.0 11.0
